Channel Name,Total Followers,Avg Views/video,Avg Likes/video,Avg Comments/video
FRANCE 24,999517,4699.02,35.35,25.2
PlayStation Europe,998849,35180.55,776.77,107.19
LilYachtyVEVO,996711,3474164.24,43531.68,2659.11
Lovers Baby,995796,65221.88,335.7,39.25
Denzel Dion,994582,307204.81,18650.39,1436.27
Daniel Fernandez,990795,238328.0,6813.27,393.71
iKuklaTV ❤ Игры в Kуклы со Слоником ❤,990520,520455.62,6549.31,927.91
westlifeVEVO,989939,399585.24,2736.78,197.73
Steve1989MREInfo,988869,787512.38,14744.81,2783.59
FeelFIFA,988572,157427.42,10664.39,469.71
Jhankar Music,987429,183948.66,1326.83,86.7
PORKMODZ,986779,409282.29,3595.91,316.22
Toy Caboodle,986734,358266.28,3040.61,486.38
SpJockey,985973,570618.11,13334.87,1095.22
Россия 1,984934,33714.62,251.53,96.81
ESL,983735,77735.26,512.15,78.19
Tarang Cine Productions,983316,1119264.41,5867.04,539.64
DD News,982053,1119.12,46.44,3.49
EDWIN DIAZTO,981551,4612664.72,13795.7,582.69
Infobells Bangla,981549,3368389.57,4855.57,111.74
